Station Name,Device ID,Dev. Type,Installed,Latitude DMS,Longitude DMS,Elevation,Station Location
Old Paint Wash (NI),,,,33 48 22.4,111 48 23.1,2820,2.75 mi. NNW of 136th St. & Lone Mtn. Rd.
Middle Camp Creek (NI),,,,,,3725,
Camp Creek Overlook (NI),,,,,,2335,
Big Horn Rd. (NI),,,,33 40 01.0,113 12 12.6,1815,7 mi. NE of Salome Hwy. @ Eagle Eye Rd.
Trailhead 88 (NI),,,,33 29 09.4,111 28 00.4,2185,
New River @ Old Stage Rd.,,,,33 56 02.8,112 08 20.0,2085,1.3 mi. N of Old Black Can. Hwy. @ New River Rd.
Tat Momolikot Dam,773,Stream PT,1/19/2000,32 39 00.6,111 55 36.2,1530,19 miles SW of Casa Grande
Gila R. @ Maricopa Rd.,778,Stream PT,4/6/1995,33 10 14.7,112 00 21.6,1135,Gila River at Maricopa Road bridge
Gila R. @ Olberg,783,Non Subm PT,4/12/1995,33 05 13.4,111 41 13.2,1305,"Gila River at Olberg Bridge, 3 mi. ENE of Sacaton"
Santa Cruz R. @ SR 84,788,Stream PT,3/16/1994,32 52 46.3,111 49 44.2,1350,3 mi. West of SR 93 (Casa Grande) on SR 84
Greene Wash @ SR 84,793,Stream PT,3/23/1994,32 52 46.1,111 56 01.3,1310,10 mi. West of SR 93 (Casa Grande) on SR 84
Mt. Union,1000,Precip.,8/16/1982,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Mt. Union,1001,Temperature,12/11/1987,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Mt. Union,1002,Humidity,12/1/1994,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Mt. Union,1008,Rptr. Batt.,4/28/1992,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Mt. Union,1016,Dewpoint,9/19/2000,34 24 54.3,112 24 16.9,7980,"Top of Mt. Union, 10 mi. SSE of Prescott"
Sacaton Peak,1108,Rptr. Batt.,6/11/1996,33 00 10.6,111 40 27.0,2690,4.5 miles E. of the SR387 / I-10 junction
Humboldt Mountain,1200,Precip.,7/14/1981,33 58 50.7,111 47 52.5,5205,13 mi. NE of the Town of Cave Creek
Humboldt Mountain,1201,Temperature,6/13/1996,33 58 50.7,111 47 52.5,5205,13 mi. NE of the Town of Cave Creek
Humboldt Mountain,1202,Humidity,6/12/1996,33 58 50.7,111 47 52.5,5205,13 mi. NE of the Town of Cave Creek
