"run.n","nodal.spacing","n.iterations","i.top.temp","i.bot.temp","time.step","pave.length","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,1,33.5,33.5,30,100,1,1,2012-02-09,3,24.35,0,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Winter","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.3285729856327,33.4567637013046,33.5,31.8860302319596,32.7441905167121,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,39.2081505645863,30.3500003814697,8.85815018311661,0.291866559201923,18.875,"Day","Winter Day"
2,10,1,33.5,33.5,30,100,1,2,2012-02-09,3,24.1,0,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Winter","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.330048327736,33.4596454833469,33.5,31.5203869493196,32.6166113813544,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.8833090063179,27.4500007629395,9.43330824337841,0.343654206965066,18.475,"Day","Winter Day"
3,10,1,33.5,33.5,30,100,1,3,2012-02-09,3,24.3,0,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Winter","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.3538725518753,33.4648834933938,33.5,31.8701387293351,32.7545927516032,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,34.9769019253874,36.75,1.77309807461256,0.0482475666561241,19.4,"Day","Winter Day"
4,10,1,33.5,33.5,30,100,1,1,2014-02-19,3,24.01,1.20715768106114,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Winter","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4864385837099,33.4927681480075,33.5,33.2131558222879,33.4660781474865,33.6732377311249,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,23.6901968147014,17.4500007629395,6.24019605176198,0.357604342632179,12.3533333333334,"Night","Winter Night"
5,10,1,33.5,33.5,30,100,1,2,2014-02-19,3,24.06,1.1300035144544,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Winter","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4863094583515,33.4937918799336,33.5,33.1770675408487,33.5219861229099,33.82440478949,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,26.0684764563081,19.6499996185303,6.41847683777786,0.32664004897614,18.53,"Night","Winter Night"
6,10,1,33.5,33.5,30,100,1,3,2014-02-19,3,23.72,0.946266630974357,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Winter","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.487326909223,33.4935589624986,33.5,33.2088559808212,33.4868190889057,33.7243241430515,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,27.023451725265,17.3500003814697,9.67345134379525,0.557547615625805,18.53,"Night","Winter Night"
7,10,1,33.5,33.5,30,100,1,1,2007-02-27,3,24.33,1.25197137364893,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Winter","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4242606402486,33.4753080623789,33.5,32.9425922136246,33.2085958550231,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,44.6123911518018,32.5499992370605,12.0623919147413,0.370580405452279,15.6841666666667,"Day","Winter Day"
8,10,1,33.5,33.5,30,100,1,2,2007-02-27,3,23.95,1.02078592706482,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Winter","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4129304222744,33.474473119857,33.5,32.7978539507025,33.1109620805074,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,42.9982884480032,23.1499996185303,19.8482888294729,0.857377501362268,17.8425,"Day","Winter Day"
9,10,1,33.5,33.5,30,100,1,3,2007-02-27,3,24.24,0.867156635158846,0,NA,3,1.5,"High Volume Asphalt Pavements","HVA",0.25,0.85,"High Volume HMA (OGFC 50mm rebonded on 250mm DGHMA)","A9","Mesa",10.9260615979618,"Winter","surface",0.05,1.2,2500,964,0.25,0.85,0,0.3,2.28,4900,1924,"base",0.25,1.08,2400,960,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4212372507056,33.4767476099276,33.5,32.8650603618375,33.1543031999082,33.5,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,40.4865326552316,27.5499992370605,12.9365334181711,0.46956565431656,17.8975,"Day","Winter Day"
10,10,1,33.5,33.5,30,100,1,1,2008-04-23,3,24.2,2.71537582724229,0,NA,1,1.5,"High Volume Asphalt Pavements","HVA",0.15,0.87,"High Volume HMA (OGFC 35mm rebonded on 265mm DGHMA)","A3","Mesa",10.9260615979618,"Spring","surface",0.035,0.96,2350,945,0.15,0.87,0,0.3,1.88,4650,1845,"base",0.265,0.92,2300,900,NA,NA,0,"subgrade",1.2,1.1,1500,1900,NA,NA,0,33.4928439274306,33.5284735054587,33.681040854457,33.2590268728151,34.4067316763189,35.9701646054631,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,35.8232866294971,24.4500007629395,11.3732858665577,0.465165051601837,22.8,"Night","Spring Night"
11,10,1,33.5,33.5,30,100,1,2,2008-04-23,3,23.74,2.5258918469063,0,NA,2,1.5,"High Volume Asphalt Pavements","HVA",0.175,0.9,"High Volume HMA (OGFC 25mm rebonded on 275mm DGHMA)","A5","Mesa",10.9260615979618,"Spring","surface",0.025,1.16,2400,964,0.175,0.9,0,0.3,2.26,4750,1904,"base",0.275,1.1,2350,940,NA,NA,0,"subgrade",1.2,1,1500,1900,NA,NA,0,33.4939512917326,33.5260747625529,33.6675379612374,33.2554662929232,34.4777775805272,36.1329155030014,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,36.3322684494937,27.6499996185303,8.68226883096344,0.31400611033444,24.2916666666667,"Night","Spring Night"
