"run.n","nodal.spacing","n.iterations","i.top.temp","i.bot.temp","time.step","pave.length","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","L4.layer","L4.thickness","L4.k","L4.rho","L4.c","L4.albedo","L4.emissivity","L4.R.c.top","L5.layer","L5.thickness","L5.k","L5.rho","L5.c","L5.albedo","L5.emissivity","L5.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,1,33.5,33.5,30,10,1,1,2012-02-09,3,40.37,0,0,NA,1,1.5,"Asphalt Pavements","A",0.05,0.85,"Asphalt #1","A6","City of Glendale",6.32396689470024,"Winter","surface",0.04,3,1900,2000,0.05,0.85,0,0.12,6,4100,3100,"base",0.08,3,2200,1100,NA,NA,0,"subgrade",1.38,2,1400,1900,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9728193422892,33.33473251707,33.5,31.17122367356,32.3960457188789,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,33.8481701429143,27.3500003814697,6.49816976144461,0.237593040980258,21.11,"Day","Winter Day"
2,10,1,33.5,33.5,30,100,1,1,2012-02-09,3,40.36,0,0,NA,1,1.5,"Asphalt Pavements","A",0.05,0.85,"Asphalt #1","A6","City of Glendale",6.32396689470024,"Winter","surface",0.04,3,1900,2000,0.05,0.85,0,0.12,6,4100,3100,"base",0.08,3,2200,1100,NA,NA,0,"subgrade",1.38,2,1400,1900,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9728193422892,33.33473251707,33.5,31.17122367356,32.3960457188789,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,33.8481701429143,27.3500003814697,6.49816976144461,0.237593040980258,21.11,"Day","Winter Day"
3,10,1,33.5,33.5,30,10,1,2,2012-02-09,3,0,0,0,FALSE,3,1.5,"Asphalt Pavements","A",0.11,0.87,"Asphalt #2","A6","City of Glendale",6.32396689470024,"Winter","surface",0.105,2.375,2113,1700,0.11,0.87,0,0.24,4.975,4363,2725,"base",0.135,2.6,2250,1025,NA,NA,0,"subgrade",1.26,1.575,1550,1625,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,1,33.5,33.5,30,100,1,2,2012-02-09,3,0,0,0,FALSE,3,1.5,"Asphalt Pavements","A",0.11,0.87,"Asphalt #2","A6","City of Glendale",6.32396689470024,"Winter","surface",0.105,2.375,2113,1700,0.11,0.87,0,0.24,4.975,4363,2725,"base",0.135,2.6,2250,1025,NA,NA,0,"subgrade",1.26,1.575,1550,1625,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,10,1,33.5,33.5,30,10,1,3,2012-02-09,3,40.17,0,0,NA,5,1.5,"Asphalt Pavements","A",0.17,0.89,"Asphalt #3","A6","City of Glendale",6.32396689470024,"Winter","surface",0.17,1.75,2225,1400,0.17,0.89,0,0.36,3.95,4525,2350,"base",0.19,2.2,2300,950,NA,NA,0,"subgrade",1.14,1.15,1700,1350,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.027153623627,33.3708131092854,33.5,30.3311997092973,31.9830962343299,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,32.951496344446,27.3500003814697,5.60149596297623,0.204807893413098,21.11,"Day","Winter Day"
6,10,1,33.5,33.5,30,100,1,3,2012-02-09,3,40.37,0,0,NA,5,1.5,"Asphalt Pavements","A",0.17,0.89,"Asphalt #3","A6","City of Glendale",6.32396689470024,"Winter","surface",0.17,1.75,2225,1400,0.17,0.89,0,0.36,3.95,4525,2350,"base",0.19,2.2,2300,950,NA,NA,0,"subgrade",1.14,1.15,1700,1350,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.027153623627,33.3708131092854,33.5,30.3311997092973,31.9830962343299,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,32.951496344446,27.3500003814697,5.60149596297623,0.204807893413098,21.11,"Day","Winter Day"
7,10,1,33.5,33.5,30,10,1,4,2012-02-09,3,40.94,0,0,NA,7,1.5,"Asphalt Pavements","A",0.23,0.91,"Asphalt #4","A6","City of Glendale",6.32396689470024,"Winter","surface",0.235,1.125,2388,1100,0.23,0.91,0,0.48,2.925,4738,1975,"base",0.245,1.8,2350,875,NA,NA,0,"subgrade",1.02,0.725,1850,1075,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1481156552861,33.4146370380131,33.5,29.8518022476254,31.7834708355473,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,33.0543735847854,27.3500003814697,5.70437320331564,0.208569401234103,21.11,"Day","Winter Day"
8,10,1,33.5,33.5,30,100,1,4,2012-02-09,3,40.91,0,0,NA,7,1.5,"Asphalt Pavements","A",0.23,0.91,"Asphalt #4","A6","City of Glendale",6.32396689470024,"Winter","surface",0.235,1.125,2388,1100,0.23,0.91,0,0.48,2.925,4738,1975,"base",0.245,1.8,2350,875,NA,NA,0,"subgrade",1.02,0.725,1850,1075,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1481156552861,33.4146370380131,33.5,29.8518022476254,31.7834708355473,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,33.0543735847854,27.3500003814697,5.70437320331564,0.208569401234103,21.11,"Day","Winter Day"
9,10,1,33.5,33.5,30,10,1,5,2012-02-09,3,40.02,0,0,NA,9,1.5,"Asphalt Pavements","A",0.29,0.93,"Asphalt #5","A6","City of Glendale",6.32396689470024,"Winter","surface",0.3,0.5,2550,800,0.29,0.93,0,0.6,1.9,4950,1600,"base",0.3,1.4,2400,800,NA,NA,0,"subgrade",0.9,0.3,2000,800,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.388959232652,33.4791298144812,33.5,30.7412464165723,32.415733273799,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,35.0255173609995,27.3500003814697,7.67551697952973,0.280640470657181,21.11,"Day","Winter Day"
10,10,1,33.5,33.5,30,100,1,5,2012-02-09,3,40.56,0,0,NA,9,1.5,"Asphalt Pavements","A",0.29,0.93,"Asphalt #5","A6","City of Glendale",6.32396689470024,"Winter","surface",0.3,0.5,2550,800,0.29,0.93,0,0.6,1.9,4950,1600,"base",0.3,1.4,2400,800,NA,NA,0,"subgrade",0.9,0.3,2000,800,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.388959232652,33.4791298144812,33.5,30.7412464165723,32.415733273799,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,35.0255173609995,27.3500003814697,7.67551697952973,0.280640470657181,21.11,"Day","Winter Day"
