"layer.profile","batch.name","RMSE","MAPE"
3,"Bare Ground / Desert Soil",10.2838136834523,0.412713342180408
2,"Bare Ground / Desert Soil",12.1323451457595,0.50950965952261
3,"Concrete Pavements",12.3321248441262,0.426804947411965
3,"Whitetopped Asphalt Pavements",12.8857577641377,0.400915502479196
1,"Bare Ground / Desert Soil",13.716647912924,0.579953897867372
2,"Concrete Pavements",14.3115743258946,0.51769497727198
2,"Whitetopped Asphalt Pavements",14.7831866023835,0.486834653988648
1,"Concrete Pavements",16.0163918667209,0.589272608083918
1,"Whitetopped Asphalt Pavements",16.4284069211472,0.554234763455465
3,"Asphalt Pavements",18.1816174965847,0.542674150976073
3,"Asphalt Overlays on PCC Pavements",18.857121502371,0.60558600899773
2,"Asphalt Pavements",19.1636826642678,0.611008262635005
1,"Asphalt Pavements",19.6820379560154,0.662826119269329
2,"Asphalt Overlays on PCC Pavements",19.9618257825311,0.679397679788204
1,"Asphalt Overlays on PCC Pavements",NA,NA
