"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,33.5,33.5,30,0.95,1,2012-02-09,3,35.37,0,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","Phoenix Encanto",15.7479912941458,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4857519599003,33.5600545444659,33.8202037430294,33.1206601397842,34.6038521040025,36.4909269242874,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,50.5843263581945,27.3500003814697,23.2343259767247,0.849518305398875,18.475,"Day","Winter Day"
2,10,33.5,33.5,30,0.95,2,2012-02-09,3,39.2,0,0,NA,2,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","Phoenix Encanto",15.7479912941458,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.4698972237305,33.5549455145306,33.8135343694368,32.8319371199105,34.4711204164279,36.3843557094873,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,52.3259671461432,27.3500003814697,24.9759667646735,0.913198040815945,18.475,"Day","Winter Day"
3,10,33.5,33.5,30,0.95,3,2012-02-09,3,39.36,0,0,NA,3,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","Phoenix Encanto",15.7479912941458,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4428425385663,33.526634893896,33.7325558330298,32.6152025086051,34.0569953525183,35.5876089992778,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,52.5029303772645,27.3500003814697,25.1529299957948,0.91966835996231,18.475,"Day","Winter Day"
4,10,33.5,33.5,30,0.95,1,2014-02-19,3,38.58,1.10011562798569,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","CW2674 Youngtown",6.43680082848531,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4900772497679,33.5938508297574,33.957590314067,33.1898415210499,35.0746018384278,37.528302297164,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,40.4852424447515,18.4500007629395,22.0352416818121,1.19432199298735,15.01,"Night","Winter Night"
5,10,33.5,33.5,30,0.95,2,2014-02-19,3,38.73,0.705868276302781,0,NA,2,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","CW2674 Youngtown",6.43680082848531,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.4798998953827,33.6098862999068,34.0169216580752,32.964616528313,35.1051005098102,37.6670304348365,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,36.3534998437306,18.4500007629395,17.9034990807911,0.970379313845553,15.01,"Night","Winter Night"
6,10,33.5,33.5,30,0.95,3,2014-02-19,3,39.11,0.438901925609405,0,NA,3,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","CW2674 Youngtown",6.43680082848531,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4588320980853,33.6037819048688,34.0071003470737,32.7610432471346,34.7599408212615,37.0117659846222,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,32.499092743873,18.4500007629395,14.0490919809336,0.761468368562563,15.01,"Night","Winter Night"
7,10,33.5,33.5,30,0.95,1,2007-02-27,3,38.66,1.02447762464479,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4851002020829,33.5727691743471,33.8817179480066,33.0973565844575,34.8276701112545,37.1314852848834,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,53.788494495029,30.4500007629395,23.3384937320895,0.766452976923886,18.9186666666666,"Day","Winter Day"
8,10,33.5,33.5,30,0.95,2,2007-02-27,3,39.16,0.665623878481904,0,NA,2,1.5,"Asphalt Pavements","A",0.2,0.9,"Asphalt #4","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.15,1.7,2350,950,0.2,0.9,0,0.35,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.15,1.4,1850,1500,NA,NA,0,33.4674997325744,33.5687889293691,33.8826650900125,32.7765018870808,34.7049276268237,37.0957794491927,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,55.8018385199346,30.4500007629395,25.3518377569951,0.832572647677917,18.9186666666666,"Day","Winter Day"
9,10,33.5,33.5,30,0.95,3,2007-02-27,3,38.97,0.456009229821798,0,NA,3,1.5,"Asphalt Pavements","A",0.25,0.95,"Asphalt #5","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.2,1.2,2200,850,0.25,0.95,0,0.5,2.7,4600,1650,"base",0.3,1.5,2400,800,NA,NA,0,"subgrade",1,1,1500,1100,NA,NA,0,33.4417078248309,33.545610440565,33.8173567708441,32.5726639383413,34.2872687794013,36.2946235484268,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,56.0944793362395,30.4500007629395,25.6444785733,0.842183183276363,18.9186666666666,"Day","Winter Day"
10,10,33.5,33.5,30,0.95,1,2008-04-23,3,38.5,1.97382866251001,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.85,"Asphalt #3","A6","ACDC @ 67th Ave.",11.598815242522,320,"Spring","surface",0.1,2.2,2500,1400,0.15,0.85,0,0.25,5.2,4800,2350,"base",0.15,3,2300,950,NA,NA,0,"subgrade",1.25,1.8,2000,1900,NA,NA,0,33.4953176373447,33.6852837887903,34.3350162466581,33.2967202947704,36.3755639198653,40.5090389517299,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,48.2932959788358,25.1499996185303,23.1432963603055,0.920210604824572,22.22,"Night","Spring Night"
