"end.day","day.sea","RMSE","MAPE"
2014-08-30,"Summer Night",10.9054762191849,0.275625702653115
2014-07-29,"Summer Night",11.6162285723874,0.253520774492969
2018-06-22,"Summer Night",12.2207052421725,0.29072986943169
2008-11-19,"Fall Day",13.0873930723194,0.373955184806526
2010-11-02,"Fall Day",13.0979871724658,0.280606922619677
2014-10-01,"Fall Night",14.0183054329681,0.538050434915818
2012-02-09,"Winter Day",14.2751646067245,0.370622895595667
2015-07-27,"Summer Day",15.5371356472225,0.263970808149631
2007-05-02,"Spring Day",16.0346744840832,0.278540818765673
2008-04-23,"Spring Night",16.0876908680715,0.638697072175916
2016-07-13,"Summer Day",16.2416877101611,0.264215197708414
2013-11-15,"Fall Night",16.9503333690236,1.05420096263013
2007-02-27,"Winter Day",17.1881624081541,0.497319424294898
2012-10-22,"Fall Day",17.4849436270413,0.412392439935416
2014-11-02,"Fall Night",17.8326375557848,1.13003120996331
2014-02-19,"Winter Night",18.1820744952879,1.14869725229899
