"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,33.5,33.5,30,1,1,2012-02-09,3,29.47,0,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4739834509808,33.5923432395743,33.9577458868892,32.8580462078269,34.9207935417162,37.364557848888,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,57.133435363456,27.3500003814697,29.7834349819863,1.0889738415567,21.11,"Day","Winter Day"
2,10,33.5,33.5,30,0.1,1,2012-02-09,3,33.53,3.21292111411673,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4968582021673,33.51722946309,33.5871235902255,33.4194453837825,33.7810236641841,34.2838825155674,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.9574719676735,27.3500003814697,9.60747158620376,0.351278663700241,21.11,"Day","Winter Day"
3,10,33.5,33.5,30,1,2,2012-02-09,3,33.54,0,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.476754558594,33.5938081595616,33.9566563615624,32.9081223922624,34.9176477804878,37.3121391364381,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,56.2854376660386,27.3500003814697,28.9354372845689,1.05796844171795,21.11,"Day","Winter Day"
4,10,33.5,33.5,30,0.1,2,2012-02-09,3,33.61,3.10251974491406,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4970180504724,33.5164183835777,33.5830419902841,33.4235236106973,33.767962621996,34.2477951632341,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.7914062801281,27.3500003814697,9.44140589865833,0.345206792211056,21.11,"Day","Winter Day"
5,10,33.5,33.5,30,1,3,2012-02-09,3,33.27,0,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.47873760267,33.5935276182587,33.950852454994,32.9476117122355,34.9006593707899,37.2415815172301,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,55.3941533605611,27.3500003814697,28.0441529790913,1.02538035056453,21.11,"Day","Winter Day"
6,10,33.5,33.5,30,0.1,3,2012-02-09,3,33.45,2.98972604732265,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4971772772377,33.5155778541991,33.5788239611154,33.4276097532065,33.7544509715905,34.2105060014059,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.6214129901774,27.3500003814697,9.27141260870764,0.338991315517101,21.11,"Day","Winter Day"
7,10,33.5,33.5,30,1,1,2014-02-19,3,33.88,0.598827894097125,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4795006378325,33.6362861867521,34.1273727002646,32.9360698664782,35.4434475750035,38.4354937782085,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,36.9158669754061,18.4500007629395,18.4658662124667,1.00085991592798,19.07,"Night","Winter Night"
8,10,33.5,33.5,30,0.1,1,2014-02-19,3,33.4,2.91308763970758,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.496672232395,33.5201565748887,33.6012216181944,33.4149012190428,33.8254210386668,34.3919336584341,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.3830410540316,18.4500007629395,16.9330402910921,0.91777992362502,19.07,"Night","Winter Night"
9,10,33.5,33.5,30,1,2,2014-02-19,3,33.46,0.510023644581214,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4804847802163,33.6335343151925,34.1148497131878,32.9605703532819,35.4069185385186,38.3425150977284,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,37.2128997374305,18.4500007629395,18.7628989744911,1.01695925195733,19.07,"Night","Winter Night"
10,10,33.5,33.5,30,0.1,2,2014-02-19,3,33.32,2.94103756975872,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4968029452542,33.5189973187939,33.5956596188582,33.4185825212385,33.8076578425427,34.3448328701866,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.2868217093182,18.4500007629395,16.8368209463787,0.912564783205803,19.07,"Night","Winter Night"
11,10,33.5,33.5,30,1,3,2014-02-19,3,33.77,0.440822841951818,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4815725498066,33.6305666007128,34.1010037091244,32.9871149971352,35.3661769116807,38.2378218153985,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,37.4893970970344,18.4500007629395,19.039396334095,1.03194555809122,19.07,"Night","Winter Night"
12,10,33.5,33.5,30,0.1,3,2014-02-19,3,33.21,2.96945850991727,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4969324958107,33.5178045796653,33.5899420103884,33.4222673694784,33.7893815214809,34.2963571872957,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.1860677897919,18.4500007629395,16.7360670268525,0.907103866384128,19.07,"Night","Winter Night"
13,10,33.5,33.5,30,1,1,2007-02-27,3,33.83,0.680479322944978,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4684860209523,33.5943114502139,33.9874260925203,32.7571616839536,35.0283197362043,37.840403438858,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,59.9470261566134,30.4500007629395,29.4970253936739,0.968703601136675,18.9186666666666,"Day","Winter Day"
14,10,33.5,33.5,30,0.1,1,2007-02-27,3,33.16,2.89928647934767,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4960289475779,33.517349913818,33.5914022611483,33.4046014423314,33.7972232715537,34.3601599367759,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,37.3841359500691,30.4500007629395,6.93413518712964,0.22772200372386,18.9186666666666,"Day","Winter Day"
15,10,33.5,33.5,30,1,2,2007-02-27,3,33.47,0.565868057055841,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.470422131511,33.5938658314554,33.9814362956559,32.795340844281,35.0107240422022,37.7683943903249,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,59.0245737675496,30.4500007629395,28.5745730046101,0.938409598970785,18.9186666666666,"Day","Winter Day"
16,10,33.5,33.5,30,0.1,2,2007-02-27,3,33.33,2.92745429772483,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4962309045443,33.5165295883643,33.5870924384212,33.4094316550322,33.7832982363516,34.3199681034561,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,37.1952081549533,30.4500007629395,6.74520739201387,0.221517478588159,18.9186666666666,"Day","Winter Day"
17,10,33.5,33.5,30,1,3,2007-02-27,3,33.71,0.47698552409501,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4700129685039,33.5888819281729,33.9640202789374,32.8018134663899,34.9601060322916,37.6608732928553,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,58.0398339503081,30.4500007629395,27.5898331873686,0.906070032712383,18.9186666666666,"Day","Winter Day"
18,10,33.5,33.5,30,0.1,3,2007-02-27,3,33.1,2.95609412956444,0,NA,5,1.5,"Asphalt Pavements","A",0.2,0.85,"Asphalt High A","A6","KC7FQC Phoenix",9.90081982015144,320,"Winter","surface",0.14,1.7,2350,950,0.2,0.85,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4964319705472,33.5156762186287,33.5826289168699,33.4142707333667,33.7688665709281,34.278415734536,2007-02-27 11:15:37,2007-02-27 11:15:30,7.75300002098083,37.0017515752774,30.4500007629395,6.55175081233796,0.215164224899201,18.9186666666666,"Day","Winter Day"
19,10,33.5,33.5,30,1,1,2008-04-23,3,33.4,1.97769231496172,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4893197505133,33.7765560356832,34.6643870420316,33.1044746441933,37.1396508536165,42.1201362260169,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,44.3281126286649,25.1499996185303,19.1781130101347,0.762549236621237,22.23,"Night","Spring Night"
20,10,33.5,33.5,30,0.1,1,2008-04-23,3,33.27,2.72482307862192,0,NA,1,1.5,"Asphalt Pavements","A",0.1,0.95,"Asphalt Low A","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,1.7,2350,950,0.1,0.95,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4986392802022,33.547562509952,33.7138836001586,33.4488677813928,34.1920420424552,35.2769609753757,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,37.9763625909626,25.1499996185303,12.8263629724323,0.509994559323253,22.23,"Night","Spring Night"
21,10,33.5,33.5,30,1,2,2008-04-23,3,33.44,1.86843003679387,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4893378693632,33.7688021998738,34.6368907386851,33.1111162477494,37.0585782759989,41.959320438414,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,44.6248745939585,25.1499996185303,19.4748749754282,0.774348917328781,22.23,"Night","Spring Night"
22,10,33.5,33.5,30,0.1,2,2008-04-23,3,33.09,2.7593316891486,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt Med A","A6","KC7FQC Phoenix",9.90081982015144,320,"Spring","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4987061228044,33.5452785909728,33.7037482316721,33.451391378516,34.1594895301256,35.1949204346909,2008-04-23 22:35:11,2008-04-23 22:35:00,11.2460000514984,37.7845247314543,25.1499996185303,12.6345251129241,0.502366811314584,22.23,"Night","Spring Night"
