"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","station.dist.km","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,33.5,33.5,30,1,1,2012-02-09,3,38.06,0,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 80mm","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.08,1.7,2350,950,0.15,0.9,0,0.18,3.95,4700,1825,"base",0.1,2.25,2350,875,NA,NA,0,"subgrade",1.32,1.4,1850,1500,NA,NA,0,33.4819893811707,33.5707679454309,33.8679626284048,33.063576395742,34.6609021409379,36.5992312064519,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,56.276480576259,27.3500003814697,28.9264801947893,1.05764094301028,21.11,"Day","Winter Day"
2,10,33.5,33.5,30,0.1,1,2012-02-09,3,36.86,3.09257796100699,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 80mm","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.08,1.7,2350,950,0.15,0.9,0,0.18,3.95,4700,1825,"base",0.1,2.25,2350,875,NA,NA,0,"subgrade",1.32,1.4,1850,1500,NA,NA,0,33.4976964020545,33.5123221176643,33.5661969544119,33.4436441270323,33.7178887816016,34.1167187243374,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.8122097013602,27.3500003814697,9.46220931989052,0.345967429174202,21.11,"Day","Winter Day"
3,10,33.5,33.5,30,1,2,2012-02-09,3,37.25,0,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 140mm","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.476754558594,33.5938081595616,33.9566563615624,32.9081223922624,34.9176477804878,37.3121391364381,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,56.2854376660386,27.3500003814697,28.9354372845689,1.05796844171795,21.11,"Day","Winter Day"
4,10,33.5,33.5,30,0.1,2,2012-02-09,3,36.91,3.10251974491406,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 140mm","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4970180504724,33.5164183835777,33.5830419902841,33.4235236106973,33.767962621996,34.2477951632341,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.7914062801281,27.3500003814697,9.44140589865833,0.345206792211056,21.11,"Day","Winter Day"
5,10,33.5,33.5,30,1,3,2012-02-09,3,37.28,0,0,NA,5,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 200mm","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.2,1.7,2350,950,0.15,0.9,0,0.5,3.95,4700,1825,"base",0.3,2.25,2350,875,NA,NA,0,"subgrade",1,1.4,1850,1500,NA,NA,0,33.4698582181979,33.6236167201693,34.0620202747138,32.6923337691417,35.2313114789487,38.2095906251008,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,56.1439971518569,27.3500003814697,28.7939967703871,1.05279694218563,21.11,"Day","Winter Day"
6,10,33.5,33.5,30,0.1,3,2012-02-09,3,37.17,3.10518989752938,0,NA,5,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 200mm","A6","City of Glendale",6.32151946212,320,"Winter","surface",0.2,1.7,2350,950,0.15,0.9,0,0.5,3.95,4700,1825,"base",0.3,2.25,2350,875,NA,NA,0,"subgrade",1,1.4,1850,1500,NA,NA,0,33.4961220456372,33.5217678325856,33.6036049082551,33.3956518901165,33.8298948071995,34.4140086455577,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,36.7685640358901,27.3500003814697,9.41856365442032,0.344371609618025,21.11,"Day","Winter Day"
7,10,33.5,33.5,30,1,1,2014-02-19,3,37.24,0.488733486109203,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 80mm","A6","Sheely",6.28538886184103,320,"Winter","surface",0.08,1.7,2350,950,0.15,0.9,0,0.18,3.95,4700,1825,"base",0.1,2.25,2350,875,NA,NA,0,"subgrade",1.32,1.4,1850,1500,NA,NA,0,33.4850253803952,33.6016870833029,33.9972925424764,33.1045324658933,35.0664190134832,37.5057247289037,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,37.4355189469745,18.4500007629395,18.9855181840351,1.02902533327648,19.07,"Night","Winter Night"
8,10,33.5,33.5,30,0.1,1,2014-02-19,3,37.09,3.02786888500288,0,NA,1,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 80mm","A6","Sheely",6.28538886184103,320,"Winter","surface",0.08,1.7,2350,950,0.15,0.9,0,0.18,3.95,4700,1825,"base",0.1,2.25,2350,875,NA,NA,0,"subgrade",1.32,1.4,1850,1500,NA,NA,0,33.4975307977007,33.5142773934552,33.5763003172156,33.4399368330978,33.7503698929546,34.2016933921579,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.3238093198714,18.4500007629395,16.8738085569319,0.914569531662371,19.07,"Night","Winter Night"
9,10,33.5,33.5,30,1,2,2014-02-19,3,36.98,0.449078915364775,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 140mm","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4804847802163,33.6335343151925,34.1148497131878,32.9605703532819,35.4069185385186,38.3425150977284,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,37.2128997374305,18.4500007629395,18.7628989744911,1.01695925195733,19.07,"Night","Winter Night"
10,10,33.5,33.5,30,0.1,2,2014-02-19,3,36.69,3.08896072638998,0,NA,3,1.5,"Asphalt Pavements","A",0.15,0.9,"Asphalt 140mm","A6","Sheely",6.28538886184103,320,"Winter","surface",0.14,1.7,2350,950,0.15,0.9,0,0.34,3.95,4700,1825,"base",0.2,2.25,2350,875,NA,NA,0,"subgrade",1.16,1.4,1850,1500,NA,NA,0,33.4968029452542,33.5189973187939,33.5956596188582,33.4185825212385,33.8076578425427,34.3448328701866,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,35.2868217093182,18.4500007629395,16.8368209463787,0.912564783205803,19.07,"Night","Winter Night"
