"valid.site","batch.name","RMSE","MAPE"
"B1","Bare Ground / Desert Soil",13.1375873727289,0.479751515276715
"C4","Whitetopped Asphalt Pavements",13.1759843946213,0.402088391901526
"C4","Concrete Pavements",13.1784248652595,0.403232757994635
"C1","Whitetopped Asphalt Pavements",13.433768553381,0.363967699280161
"C1","Concrete Pavements",13.4378072730288,0.364904308627019
"A9","Asphalt Pavements",16.2549349562657,0.439876906860334
"A7","Asphalt Pavements",16.3095282973917,0.451183341411231
"A9","Asphalt Overlays on PCC Pavements",16.3611251664554,0.442879504741118
"A7","Asphalt Overlays on PCC Pavements",16.4382316915038,0.455054190002984
"A6","Asphalt Pavements",16.4736508870379,0.437576186685616
"A1","Asphalt Overlays on PCC Pavements",17.0035169666809,0.489440387404623
