"run.n","nodal.spacing","i.top.temp","i.bot.temp","time.step","SVF","layer.profile","end.day","n.days","run.time","RMSE","CFL_fail","broke.t","ref","depth","batch.name","batch.id","albedo","emissivity","pave.name","valid.site","station.name","pave.length","season","L1.layer","L1.thickness","L1.k","L1.rho","L1.c","L1.albedo","L1.emissivity","L1.R.c.top","pave.thick","mean.k","mean.c","mean.rho","L2.layer","L2.thickness","L2.k","L2.rho","L2.c","L2.albedo","L2.emissivity","L2.R.c.top","L3.layer","L3.thickness","L3.k","L3.rho","L3.c","L3.albedo","L3.emissivity","L3.R.c.top","min.T_0.5m","avg.T_0.5m","max.T_0.5m","min.T_1.0m","avg.T_1.0m","max.T_1.0m","date.time.obs","date.time.mod","dif.sec","Modeled","Observed","error","p.err","air.temp.c","daytime","day.sea"
1,10,33.5,33.5,30,1,1,2012-02-09,5,84.88,0,0,NA,1,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 80+80mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.08,1.5,2250,900,0.3,0.93,0,0.26,4.7,7000,2600,"asphalt",0.08,1.7,2350,900,NA,NA,0,"base",0.1,1.5,2400,800,NA,NA,0,33.3519283896454,33.409808105171,33.5,32.6698971899068,33.3070279225236,34.0579392748783,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,47.4265901755018,34.75,12.6765901755018,0.364793961884943,19.5541427218615,"Day","Winter Day"
2,10,33.5,33.5,30,0.1,1,2012-02-09,5,85.33,2.65849259857346,0,NA,1,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 80+80mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.08,1.5,2250,900,0.3,0.93,0,0.26,4.7,7000,2600,"asphalt",0.08,1.7,2350,900,NA,NA,0,"base",0.1,1.5,2400,800,NA,NA,0,32.7944919941045,33.2504340059011,33.5,31.6407100632109,32.4679521650448,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,30.7249389317434,34.75,4.0250610682566,0.115829095489399,19.5541427218615,"Day","Winter Day"
3,10,33.5,33.5,30,1,2,2012-02-09,5,85.06,0,0,NA,3,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 100+140mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.1,1.5,2250,900,0.3,0.93,0,0.44,4.7,7000,2600,"asphalt",0.14,1.7,2350,900,NA,NA,0,"base",0.2,1.5,2400,800,NA,NA,0,33.3523041886713,33.4105018237472,33.5,32.6466972973675,33.3138588917442,34.1162182742971,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,47.5545781655412,38.5499992370605,9.00457892848067,0.233581818591166,19.5541427218615,"Day","Winter Day"
4,10,33.5,33.5,30,0.1,2,2012-02-09,5,84.87,2.64460801950173,0,NA,3,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 100+140mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.1,1.5,2250,900,0.3,0.93,0,0.44,4.7,7000,2600,"asphalt",0.14,1.7,2350,900,NA,NA,0,"base",0.2,1.5,2400,800,NA,NA,0,32.77583653898,33.2430414959449,33.5,31.5981766279569,32.4400695496692,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,30.5755354356893,38.5499992370605,7.9744638013712,0.206860284285164,19.5541427218615,"Day","Winter Day"
5,10,33.5,33.5,30,1,3,2012-02-09,5,85.41,0,0,NA,5,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 150+200mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.15,1.5,2250,900,0.3,0.93,0,0.65,4.7,7000,2600,"asphalt",0.2,1.7,2350,900,NA,NA,0,"base",0.3,1.5,2400,800,NA,NA,0,33.3488752701782,33.4086108424267,33.5,32.4981682739407,33.3005360855373,34.2391370142539,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,47.4886955029763,34.75,12.7386955029763,0.366581165553276,19.5541427218615,"Day","Winter Day"
6,10,33.5,33.5,30,0.1,3,2012-02-09,5,86.56,2.66087809893524,0,NA,5,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 150+200mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.15,1.5,2250,900,0.3,0.93,0,0.65,4.7,7000,2600,"asphalt",0.2,1.7,2350,900,NA,NA,0,"base",0.3,1.5,2400,800,NA,NA,0,32.7597886233349,33.2362024828944,33.5,31.4198027077684,32.3229789967362,33.5,2012-02-09 11:15:01,2012-02-09 11:15:00,1.10899996757507,30.4446768597575,34.75,4.30532314024254,0.123894191086116,19.5541427218615,"Day","Winter Day"
7,10,33.5,33.5,30,1,1,2014-02-19,5,86.9,0.506541857131762,0,NA,1,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 80+80mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.08,1.5,2250,900,0.3,0.93,0,0.26,4.7,7000,2600,"asphalt",0.08,1.7,2350,900,NA,NA,0,"base",0.1,1.5,2400,800,NA,NA,0,33.4491468529093,33.6927024400627,34.1565547801735,32.8419046681831,34.4082698905062,35.7370375125084,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.5992196952828,18.1499996185303,11.4492200767526,0.630811036770682,15.7357949548091,"Night","Winter Night"
8,10,33.5,33.5,30,0.1,1,2014-02-19,5,86.72,2.54597365247342,0,NA,1,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 80+80mm","C1","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.08,1.5,2250,900,0.3,0.93,0,0.26,4.7,7000,2600,"asphalt",0.08,1.7,2350,900,NA,NA,0,"base",0.1,1.5,2400,800,NA,NA,0,33.1125228199602,33.3619663919402,33.5,32.4233247574698,32.9290882316724,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,30.019785136161,18.1499996185303,11.8697855176308,0.653982686892857,15.7357949548091,"Night","Winter Night"
9,10,33.5,33.5,30,1,2,2014-02-19,5,87.67,0.506713089221186,0,NA,3,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 100+140mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.1,1.5,2250,900,0.3,0.93,0,0.44,4.7,7000,2600,"asphalt",0.14,1.7,2350,900,NA,NA,0,"base",0.2,1.5,2400,800,NA,NA,0,33.447499595715,33.6980745385417,34.167877482447,32.8155797537823,34.4266894868864,35.7880673365938,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.6153296956163,18.0499992370605,11.5653304585557,0.640738556642683,15.7357949548091,"Night","Winter Night"
10,10,33.5,33.5,30,0.1,2,2014-02-19,5,86.49,2.56468625542158,0,NA,3,1.5,"Whitetopped Asphalt Pavements","WA",0.3,0.93,"Whitetopped Asphalt 100+140mm","C4","Mean Hour All Stations",3.14159265358979,"Winter","surface",0.1,1.5,2250,900,0.3,0.93,0,0.44,4.7,7000,2600,"asphalt",0.14,1.7,2350,900,NA,NA,0,"base",0.2,1.5,2400,800,NA,NA,0,33.1027257776918,33.3582084555689,33.5,32.3986321751281,32.9145296344553,33.5,2014-02-19 22:35:14,2014-02-19 22:35:00,14.8699998855591,29.9037903322583,18.0499992370605,11.8537910951977,0.656719756024107,15.7357949548091,"Night","Winter Night"
