"fid","res.off","com.off","all.off","all_on","all.sp","con_yr_avg","blkgp.con.yr.m1SD"
1,1186,955,2141,6549,8690,1997,1980
2,640,12285,12925,1348,14273,2004,1996
3,1594,49,1643,2650,4293,2005,2002
4,1252,1232,2484,12288,14772,1988,1971
5,1144,240,1384,4075,5459,2001,1990
6,2397,2376,4773,6592,11365,2007,2003
7,1056,270,1326,3605,4931,2002,1994
8,1601,1101,2702,5636,8338,2004,1993
9,773,233,1006,1410,2416,1987,1967
10,0,2,2,2291,2293,1997,1997
11,0,6,6,1243,1249,1993,1987
12,1058,7371,8429,2149,10578,1987,1977
13,362,29888,30250,6709,36959,1994,1982
14,997,79,1076,1703,2779,1998,1992
15,692,880,1572,1678,3250,1994,1991
16,1220,496,1716,1748,3464,1994,1992
17,1799,1353,3152,2357,5509,1995,1992
18,562,856,1418,744,2162,2002,2001
19,1462,438,1900,1612,3512,2001,1999
20,1120,0,1120,1143,2263,2004,2003
21,3,1525,1528,954,2482,1998,1986
22,1064,436,1500,1140,2640,2007,2003
23,462,0,462,1288,1750,2008,2005
24,498,1122,1620,1303,2923,1975,1957
25,1491,391,1882,2962,4844,1987,1985
26,778,1620,2398,2147,4545,1985,1972
27,951,307,1258,1626,2884,1983,1963
28,1121,87,1208,1880,3088,1980,1958
29,1858,659,2517,2699,5216,1984,1962
30,894,356,1250,1964,3214,1971,1968
31,704,232,936,2383,3319,1978,1975
32,562,0,562,859,1421,1976,1973
33,1675,17,1692,1144,2836,1966,1961
34,1358,46,1404,1934,3338,1961,1957
35,624,480,1104,0,1104,1981,1972
36,1296,149,1445,1159,2604,1985,1980
37,1296,68,1364,1188,2552,1985,1981
38,1163,376,1539,2230,3769,1961,1959
39,906,67,973,1210,2183,1966,1962
40,712,2138,2850,951,3801,1984,1978
41,766,2,768,859,1627,1961,1958
42,434,918,1352,920,2272,1979,1975
43,1085,172,1257,1477,2734,1966,1960
44,768,0,768,1159,1927,1960,1959
45,1407,1061,2468,2543,5011,1990,1979
46,463,0,463,425,888,1981,1976
47,753,114,867,1090,1957,1971,1962
48,1376,872,2248,2447,4695,1975,1967
49,725,1333,2058,1155,3213,1971,1966
50,1207,335,1542,1003,2545,1967,1960
51,2092,2159,4251,1588,5839,1969,1965
52,1017,1978,2995,807,3802,1975,1967
53,1514,493,2007,1547,3554,1971,1967
54,1772,720,2492,1207,3699,1974,1969
55,200,4229,4429,402,4831,1985,1980
56,1363,3328,4691,694,5385,1981,1975
57,722,169,891,708,1599,1990,1985
58,1252,363,1615,1620,3235,1987,1978
59,1471,3414,4885,3920,8805,1988,1976
60,1094,503,1597,2064,3661,1986,1981
61,933,344,1277,1650,2927,1972,1966
62,946,886,1832,1967,3799,1984,1972
63,1282,1997,3279,2379,5658,1988,1984
64,2000,1164,3164,444,3608,1983,1981
65,1377,7125,8502,457,8959,1981,1976
66,1374,242,1616,1402,3018,1989,1984
67,684,306,990,1740,2730,1992,1977
68,1466,1531,2997,2395,5392,1975,1966
69,1051,1275,2326,1130,3456,1941,1922
70,1194,1929,3123,871,3994,1956,1945
71,4447,2040,6487,2712,9199,1985,1978
72,1808,1135,2943,78,3021,1998,1985
73,1793,1693,3486,1674,5160,1982,1971
74,704,710,1414,936,2350,1956,1945
75,800,139,939,2683,3622,1959,1950
76,902,473,1375,267,1642,1964,1955
77,1261,2059,3320,918,4238,1947,1928
78,1855,1292,3147,3549,6696,1974,1966
79,1504,0,1504,2476,3980,1997,1996
81,1015,117,1132,779,1911,1963,1955
82,5373,10642,16015,2459,18474,1991,1981
83,676,1226,1902,1109,3011,1956,1948
84,1387,843,2230,968,3198,1969,1953
85,1111,287,1398,1172,2570,1975,1966
86,1875,1168,3043,3149,6192,1982,1973
87,2438,4599,7037,3038,10075,1988,1969
88,923,194,1117,110,1227,1987,1986
89,1215,0,1215,1839,3054,1975,1968
90,1214,352,1566,3952,5518,1988,1983
91,1555,3284,4839,6496,11335,1996,1985
92,916,10971,11887,3319,15206,1960,1942
93,1345,3125,4470,1967,6437,1956,1934
94,1376,4377,5753,716,6469,1958,1942
95,1226,10895,12121,2978,15099,1963,1939
96,610,269,879,1349,2228,1996,1992
97,960,273,1233,1204,2437,1978,1973
98,1703,1147,2850,2442,5292,1997,1994
99,1764,182,1946,2443,4389,1997,1994
100,900,0,900,1805,2705,2003,2002
101,1190,412,1602,1828,3430,2004,2002
102,1646,0,1646,2581,4227,2004,2004
103,589,1178,1767,556,2323,2003,1999
104,1115,724,1839,1966,3805,2003,2002
105,1222,367,1589,2347,3936,2003,2002
106,1026,0,1026,1655,2681,2000,1999
107,992,6,998,1473,2471,1997,1996
108,707,1095,1802,1454,3256,1997,1995
109,2498,2353,4851,7319,12170,2009,2001
110,1728,634,2362,1811,4173,1996,1992
111,1932,469,2401,4118,6519,2004,2001
112,1478,240,1718,2394,4112,1999,1998
