"ibuttonID","NDVI_originalbyUCR","button_type","Lat","Lon","NDVIBuf30m_mean","medianHHIncome","LCpct30mBuf_building","LCpct30mBuf_road","LCpct30mBuf_soil","LCpct30mBuf_tree","LCpct30mBuf_grass","LCpct30mBuf_shrub","LCpct30mBuf_cropland","LCpct30mBuf_fallow","LCpct30mBuf_orchard","LCpct30mBuf_lake","LCpct30mBuf_canal","LCpct30mBuf_pool","LCpct30mBuf_seasonal.river","LST30mBuf_20170715_ MIN","LST30mBuf_20170715_ MAX","LST30mBuf_20170715_ RANGE","LST30mBuf_20170715_ MEAN","Tair_mean_00:00","Tair_mean_01:00","Tair_mean_02:00","Tair_mean_03:00","Tair_mean_04:00","Tair_mean_05:00","Tair_mean_06:00","Tair_mean_07:00","Tair_mean_08:00","Tair_mean_09:00","Tair_mean_10:00","Tair_mean_11:00","Tair_mean_12:00","Tair_mean_13:00","Tair_mean_14:00","Tair_mean_15:00","Tair_mean_16:00","Tair_mean_17:00","Tair_mean_18:00","Tair_mean_19:00","Tair_mean_20:00","Tair_mean_21:00","Tair_mean_22:00","Tair_mean_23:00","mean_Tair","max_pctl95_Tair","min_pctl05_Tair","HI_mean_00:00","HI_mean_01:00","HI_mean_02:00","HI_mean_03:00","HI_mean_04:00","HI_mean_05:00","HI_mean_06:00","HI_mean_07:00","HI_mean_08:00","HI_mean_09:00","HI_mean_10:00","HI_mean_11:00","HI_mean_12:00","HI_mean_13:00","HI_mean_14:00","HI_mean_15:00","HI_mean_16:00","HI_mean_17:00","HI_mean_18:00","HI_mean_19:00","HI_mean_20:00","HI_mean_21:00","HI_mean_22:00","HI_mean_23:00","mean_HI","max_pctl95_HI","min_pctl05_HI"
"H01",0.262561,"AirT",33.5015,-112.125719,-0.017407059397964,30321,0,0.725852272727273,0.132457386363636,0.107599431818182,0.0340909090909091,0,0,0,0,0,0,0,0,51.68016517,52.08012426,0.399959091,51.83671841,32.2661290322581,31.6129032258065,30.9112903225806,30.2741935483871,29.75,29.2661290322581,29.3870967741935,31.758064516129,32.9758064516129,34.9274193548387,36.741935483871,36.6693548387097,37.7741935483871,38.6774193548387,39.6290322580645,40.2338709677419,40.4193548387097,40.3467741935484,39.7016129032258,38.5322580645161,36.4193548387097,35.3387096774194,34.1935483870968,33.0645161290323,35.0362903225806,42.5,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H02",0.287953,"AirT",33.470347,-112.050107,-0.042490076775236,36230,0.155761024182077,0.352418207681366,0.26778093883357,0.123399715504979,0.100640113798009,0,0,0,0,0,0,0,0,52.20583289,52.31101012,0.105177238,52.25294711,33.0403225806452,32.2983870967742,31.6048387096774,30.8951612903226,30.258064516129,29.7258064516129,29.758064516129,31.1612903225806,32.8145161290323,34.5887096774194,36.3709677419355,38.1370967741936,39.75,41.7177419354839,42.6048387096774,43.3145161290323,44.4112903225806,42.9435483870968,41.3387096774194,40.0322580645161,37.9274193548387,36.6935483870968,35.4274193548387,34.0322580645161,36.2852822580645,46,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H03",0.496029,"AirT",33.521953,-112.078155,0.271137981245777,78125,0.167675329298683,0.280526877892488,0.152011391954432,0.241367034531862,0.158419366322535,0,0,0,0,0,0,0,0,45.37987716,45.54753338,0.167656216,45.44885943,30.9435483870968,30.1451612903226,29.5645161290323,28.9758064516129,28.5241935483871,28.0806451612903,27.9596774193548,29.4516129032258,31.4516129032258,34.2661290322581,36.4435483870968,37.9193548387097,38.7016129032258,39,39.3306451612903,39.5806451612903,40.0564516129032,40.1693548387097,39.3225806451613,37.9677419354839,34.9112903225806,33.7741935483871,32.7177419354839,31.7661290322581,34.2093413978495,42.5,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H06",0.380222,"AirT",33.494452,-111.954938,0.197875033562741,161000,0.0565232847493779,0.212939921791681,0.13473160327053,0.428723782438678,0.167081407749733,0,0,0,0,0,0,0,0,47.3299315,47.90522637,0.575294868,47.6691167,30.5161290322581,29.9435483870968,29.3225806451613,28.6290322580645,28.0645161290323,27.5564516129032,28.1048387096774,29.7177419354839,31.6854838709677,33.7661290322581,35.1290322580645,36.5887096774194,37.6774193548387,38.75,39.4677419354839,40,40.1209677419355,39.5967741935484,38.758064516129,37.241935483871,34.6370967741936,33.4596774193548,32.25,31.3629032258065,33.8477822580645,42,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H07",0.266501,"AirT",33.41953,-111.9126,-0.023159578725835,24333,0,0.378917378917379,0.454415954415954,0.122507122507123,0.0441595441595442,0,0,0,0,0,0,0,0,47.82782049,49.01681663,1.188996135,48.44213291,31.4758064516129,30.5,29.8870967741935,28.6370967741935,25.491935483871,27.1048387096774,27.5725806451613,31.4596774193548,32.3225806451613,34.8870967741936,34.8709677419355,36.4193548387097,37.3467741935484,38.4354838709677,39.6129032258064,39.8951612903226,40.3790322580645,39.6693548387097,38.7177419354839,37.1129032258064,35.2258064516129,34.25,33.241935483871,32.2016129032258,34.0299059139785,42,24.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H08",0.285009,"AirT",33.477757,-112.005848,-0.045329320257171,31423,0.0471798510109968,0.28698119900674,0.401915572898191,0.154664774742817,0.109258602341256,0,0,0,0,0,0,0,0,50.66353553,51.12329896,0.45976343,50.90230844,32.4032258064516,31.8709677419355,31.1854838709677,30.6290322580645,29.9838709677419,29.4838709677419,29.4838709677419,32.3548387096774,33.5887096774194,34.6048387096774,37.0322580645161,36.6854838709677,37.6612903225806,38.8548387096774,40.3467741935484,41.0967741935484,42.9274193548387,42.0725806451613,42.8064516129032,39.3951612903226,36.7258064516129,35.5564516129032,34.4838709677419,33.4435483870968,35.6115591397849,44.5,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H09",0.407801,"AirT",33.497713,-112.089496,0.179853883795686,42390,0.134206798866856,0.180240793201133,0.134560906515581,0.369688385269122,0.181303116147309,0,0,0,0,0,0,0,0,47.36901527,47.6525578,0.283542531,47.5228925,30.6854838709677,29.9838709677419,29.3548387096774,28.6693548387097,28.1935483870968,27.6612903225806,27.4274193548387,28.75,30.7096774193548,32.6209677419355,34.1612903225806,35.2016129032258,36.4193548387097,37.7822580645161,38.8629032258064,39.5,39.4516129032258,39.2177419354839,38.1370967741936,36.508064516129,34.6290322580645,33.3790322580645,32.3387096774194,31.508064516129,33.3813844086022,41.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H10",0.311977,"AirT",33.463615,-112.088698,0.120728811612146,55625,0.13623395149786,0.207917261055635,0.227888730385164,0.245720399429387,0.182239657631954,0,0,0,0,0,0,0,0,49.11135924,49.34641278,0.23505354,49.20366102,32.0967741935484,31.3467741935484,30.7016129032258,30.0403225806452,29.508064516129,28.8629032258065,28.6854838709677,30.2177419354839,31.8306451612903,33.6048387096774,35.2258064516129,36.1693548387097,37.3790322580645,38.6209677419355,39.6451612903226,40.2177419354839,40.8790322580645,41.3709677419355,40.3709677419355,38.9516129032258,36.3145161290323,34.8709677419355,34.008064516129,32.8387096774194,34.7399193548387,43.5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H11",0.352113,"AirT",33.527367,-112.087716,0.023004856870029,75859,0.187234042553191,0.320212765957447,0.270567375886525,0.0308510638297872,0.168439716312057,0.00390070921985816,0,0,0,0,0,0.0187943262411348,0,47.75160226,48.47944348,0.727841218,48.2096295,30.5564516129032,29.7338709677419,29.0887096774194,28.491935483871,27.9193548387097,27.4112903225806,27.4435483870968,29.258064516129,31.3467741935484,33.6290322580645,35.7016129032258,36.0967741935484,36.8064516129032,38.1209677419355,39.4435483870968,40.4274193548387,41.8306451612903,41.8306451612903,38.5806451612903,37.3225806451613,34.9274193548387,33.5725806451613,32.3951612903226,31.4112903225806,33.8894489247312,43,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H13",0.370486,"AirT",33.520046,-112.04112,0.010487364273199,53242,0.270078180525942,0.331556503198294,0.232764747690121,0.035181236673774,0.130419331911869,0,0,0,0,0,0,0,0,48.11365123,48.32841326,0.214762037,48.22455586,31.5161290322581,30.6290322580645,30.1129032258065,29.4838709677419,28.7661290322581,28.258064516129,28.3467741935484,30.1129032258065,32.6854838709677,34.5967741935484,35.4112903225806,36.9193548387097,38.0241935483871,39.258064516129,40.258064516129,40.9112903225806,41.5806451612903,43.258064516129,42.0645161290323,39.3387096774194,36.5,35.0483870967742,33.6612903225806,32.5483870967742,34.9704301075269,44.5,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
